Continente;Ordem continente;País;Ordem país;UF;Ordem UF;Via de acesso;Ordem via de acesso;ano;Mês;Ordem mês;Chegadas
Ásia;5;China;43;Acre;1;Terrestre;2;2015;junho;6;0
Ásia;5;Índia;113;Acre;1;Terrestre;2;2015;junho;6;0
Ásia;5;Israel;119;Acre;1;Terrestre;2;2015;junho;6;2
Ásia;5;Japão;122;Acre;1;Terrestre;2;2015;junho;6;0
Ásia;5;República da Coreia;184;Acre;1;Terrestre;2;2015;junho;6;0
Ásia;5;Outros países;998;Acre;1;Terrestre;2;2015;junho;6;24
Europa;6;Alemanha;4;Acre;1;Terrestre;2;2015;junho;6;10
Europa;6;Áustria;15;Acre;1;Terrestre;2;2015;junho;6;1
Europa;6;Bélgica;21;Acre;1;Terrestre;2;2015;junho;6;3
Europa;6;Dinamarca;57;Acre;1;Terrestre;2;2015;junho;6;0
Europa;6;Espanha;67;Acre;1;Terrestre;2;2015;junho;6;0
Europa;6;Finlândia;73;Acre;1;Terrestre;2;2015;junho;6;0
Europa;6;França;74;Acre;1;Terrestre;2;2015;junho;6;5
Europa;6;Grécia;81;Acre;1;Terrestre;2;2015;junho;6;0
Europa;6;Holanda;92;Acre;1;Terrestre;2;2015;junho;6;13
Europa;6;Hungria;94;Acre;1;Terrestre;2;2015;junho;6;0
Europa;6;Reino Unido/ Inglaterra;182;Acre;1;Terrestre;2;2015;junho;6;7
Europa;6;Irlanda;117;Acre;1;Terrestre;2;2015;junho;6;1
Europa;6;Itália;120;Acre;1;Terrestre;2;2015;junho;6;4
Europa;6;Noruega;164;Acre;1;Terrestre;2;2015;junho;6;1
Europa;6;Polônia;177;Acre;1;Terrestre;2;2015;junho;6;0
Europa;6;Portugal;179;Acre;1;Terrestre;2;2015;junho;6;1
Europa;6;República Tcheca;187;Acre;1;Terrestre;2;2015;junho;6;1
Europa;6;Rússia;190;Acre;1;Terrestre;2;2015;junho;6;0
Europa;6;Suécia;215;Acre;1;Terrestre;2;2015;junho;6;0
Europa;6;Suíça;216;Acre;1;Terrestre;2;2015;junho;6;4
Europa;6;Outros países;998;Acre;1;Terrestre;2;2015;junho;6;2
Oceania;7;Austrália;14;Acre;1;Terrestre;2;2015;junho;6;0
Oceania;7;Nova Zelândia;166;Acre;1;Terrestre;2;2015;junho;6;0
Oceania;7;Outros países;998;Acre;1;Terrestre;2;2015;junho;6;0
Continente não especificado;8;Países não especificados;999;Acre;1;Terrestre;2;2015;junho;6;0
África;1;África do Sul;2;Acre;1;Terrestre;2;2015;julho;7;1
África;1;Angola;6;Acre;1;Terrestre;2;2015;julho;7;0
África;1;Cabo Verde;35;Acre;1;Terrestre;2;2015;julho;7;0
